sku_category.skuseq,sku_category.status,sku_category.unit,sku_category.cate,sku_category.fst_sales_dy
318773,ACTIVE,Kitchen,Kitchen Accessories,20150613
320453,ACTIVE,Kitchen,Tableware,20150413
323813,ACTIVE,Kitchen,Tableware,20150427
325973,ACTIVE,Kitchen,Kitchen Accessories,20150415
326693,ACTIVE,Kitchen,Kitchen Accessories,20160731
327654,OTHER,Kitchen,Tableware,20150331
328374,ACTIVE,Kitchen,Tools & Gadgets,20150408
329334,OTHER,Kitchen,Tableware,20150519
329814,ACTIVE,Kitchen,Tableware,20150408
331974,ACTIVE,Kitchen,Cookware,20150418
334854,ACTIVE,Kitchen,Tableware,20150413
335334,OTHER,Kitchen,Tableware,20150603
337734,ACTIVE,Kitchen,Kitchen Accessories,20150810
338214,ACTIVE,Kitchen,Tableware,20150805
341334,ACTIVE,Kitchen,Tableware,20160501
342774,ACTIVE,Kitchen,Food Storage,20150418
344214,ACTIVE,Kitchen,Tableware,20150808
347574,ACTIVE,Kitchen,Food Storage,20150419
347814,ACTIVE,Kitchen,Tableware,20160117
354534,ACTIVE,Kitchen,Food Storage,20150428
354774,ACTIVE,Kitchen,Cookware,20160113
355014,ACTIVE,Kitchen,Tableware,20150429
355254,ACTIVE,Kitchen,Cookware,20150422
355494,ACTIVE,Kitchen,Cookware,20150427
356934,ACTIVE,Kitchen,Tools & Gadgets,20150510
380694,ACTIVE,Kitchen,Cookware,20150609
397255,ACTIVE,Kitchen,Cookware,20150611
402295,ACTIVE,Kitchen,Tableware,20150914
441655,ACTIVE,Kitchen,Food Storage,20150714
441895,OTHER,Kitchen,Tools & Gadgets,20150904
443575,ACTIVE,Kitchen,Food Storage,20151208
445255,ACTIVE,Kitchen,Food Storage,20150728
448855,ACTIVE,Kitchen,Food Storage,20150818
456295,ACTIVE,Kitchen,Kitchen Accessories,20150911
469976,ACTIVE,Kitchen,Tableware,20151020
480296,ACTIVE,Kitchen,Kitchen Accessories,20150914
482216,ACTIVE,Kitchen,Tableware,20151228
487256,ACTIVE,Kitchen,Tableware,20151028
489416,ACTIVE,Kitchen,Kitchen Accessories,20150928
492776,ACTIVE,Kitchen,Kitchen Accessories,20150923
497096,ACTIVE,Kitchen,Tableware,20160514
504056,ACTIVE,Kitchen,Tableware,20151021
504776,ACTIVE,Kitchen,Tools & Gadgets,20151010
505496,ACTIVE,Kitchen,Kitchen Accessories,20151015
516536,ACTIVE,Kitchen,Food Storage,20151017
522056,ACTIVE,Kitchen,Tools & Gadgets,20151022
531417,ACTIVE,Kitchen,Tableware,20151124
532857,ACTIVE,Kitchen,Tableware,20151205
535017,ACTIVE,Kitchen,Tools & Gadgets,20151127
542937,ACTIVE,Kitchen,Tools & Gadgets,20160107
551337,ACTIVE,Kitchen,Tableware,20151117
553257,ACTIVE,Kitchen,Tableware,20151122
555177,ACTIVE,Kitchen,Kitchen Accessories,20160122
559017,ACTIVE,Kitchen,Tableware,20160303
559977,ACTIVE,Kitchen,Kitchen Accessories,20151218
570297,ACTIVE,Kitchen,Tableware,20151122
571257,ACTIVE,Kitchen,Food Storage,20160128
578217,ACTIVE,Kitchen,Tableware,20160201
